time,latitude,longitude,elevation,pointxyz,distance,elevation_change,cum_elevation,cum_distance,step_feet,gradient_point,gradient_rating
2017-09-30 16:37:44+00:00,38.90944,-78.72169,760.686462,"(38.90944, -78.72169, 760.686462)",0.00214139,0.31426999999996497,172.80651799999998,26.402009450000026,11.3065392,7.1,up
2017-09-30 16:37:46+00:00,38.90946,-78.72169,760.96167,"(38.90946, -78.72169, 760.96167)",0.00138187,0.27520800000002055,173.081726,26.403391320000026,7.2962736,8.5,up
2017-09-30 16:37:48+00:00,38.90949,-78.7217,761.256104,"(38.90949, -78.7217, 761.256104)",0.00214139,0.29443400000002384,173.37616000000003,26.405532710000024,11.3065392,6.6,up
2017-09-30 16:37:50+00:00,38.90952,-78.7217,761.662292,"(38.90952, -78.7217, 761.662292)",0.0020728,0.40618799999992916,173.78234799999996,26.407605510000025,10.944384000000001,9.4,up
2017-09-30 16:37:52+00:00,38.90955,-78.7217,762.06842,"(38.90955, -78.7217, 762.06842)",0.0020728,0.40612799999996696,174.18847599999992,26.409678310000025,10.944384000000001,9.4,up
2017-09-30 16:37:54+00:00,38.90957,-78.7217,762.3396,"(38.90957, -78.7217, 762.3396)",0.00138187,0.27118000000007214,174.459656,26.411060180000025,7.2962736,8.4,up
2017-09-30 16:37:56+00:00,38.9096,-78.72169,762.77356,"(38.9096, -78.72169, 762.77356)",0.00214139,0.4339599999999564,174.89361599999995,26.413201570000023,11.3065392,9.8,up
2017-09-30 16:37:58+00:00,38.90963,-78.72169,762.971436,"(38.90963, -78.72169, 762.971436)",0.0020728,0.19787600000006478,175.09149200000002,26.415274370000024,10.944384000000001,4.6,flat
2017-09-30 16:37:59+00:00,38.90965,-78.72169,763.103027,"(38.90965, -78.72169, 763.103027)",0.00138187,0.1315909999999576,175.22308299999997,26.416656240000023,7.2962736,4.1,flat
2017-09-30 16:38:00+00:00,38.90967,-78.72169,763.235107,"(38.90967, -78.72169, 763.235107)",0.00138187,0.13207999999997355,175.35516299999995,26.418038110000023,7.2962736,4.1,flat
