"Time Period","Activities","Total Distance","Total Activity Time","Activity Calories","Total Ascent","Average Speed","Average Heart Rate","Average Run Cadence","Average Bike Cadence"
"06/13/2021","2","8.68 mi","1:24:29 h:m:s","993","253 ft","6.2 mph","129 bpm","160 spm","--"
"05/30/2021","2","6.02 mi","52:36 h:m:s","641","82 ft","6.9 mph","128 bpm","166 spm","--"
"05/23/2021","3","10.31 mi","1:48:53 h:m:s","1,198","135 ft","5.7 mph","131 bpm","157 spm","--"
"05/16/2021","4","16.97 mi","3:00:18 h:m:s","1,782","531 ft","5.6 mph","121 bpm","148 spm","--"
"05/09/2021","2","5.41 mi","1:14:43 h:m:s","592","49 ft","4.3 mph","113 bpm","140 spm","--"
"05/02/2021","4","17.30 mi","2:54:40 h:m:s","1,341","587 ft","5.9 mph","107 bpm","158 spm","--"
"04/25/2021","3","8.23 mi","1:31:45 h:m:s","798","161 ft","5.4 mph","114 bpm","150 spm","--"
"04/18/2021","5","19.14 mi","3:20:39 h:m:s","2,197","735 ft","5.7 mph","133 bpm","155 spm","--"
"04/11/2021","1","6.33 mi","50:37 h:m:s","699","381 ft","7.5 mph","152 bpm","179 spm","--"
"04/04/2021","2","12.06 mi","1:35:21 h:m:s","1,353","715 ft","7.6 mph","154 bpm","179 spm","--"
"03/28/2021","1","14.27 mi","2:13:18 h:m:s","534","171 ft","6.4 mph","86 bpm","--","--"
"03/21/2021","2","14.96 mi","1:58:10 h:m:s","1,693","856 ft","7.6 mph","155 bpm","180 spm","--"
"03/14/2021","1","5.60 mi","44:20 h:m:s","628","305 ft","7.6 mph","152 bpm","179 spm","--"
"03/07/2021","2","12.68 mi","1:42:36 h:m:s","1,354","801 ft","7.4 mph","145 bpm","179 spm","--"
"02/28/2021","2","9.02 mi","1:18:09 h:m:s","1,077","758 ft","6.9 mph","147 bpm","172 spm","--"
"02/21/2021","1","6.00 mi","47:23 h:m:s","628","135 ft","7.6 mph","144 bpm","182 spm","--"
"02/14/2021","2","13.59 mi","1:47:32 h:m:s","1,601","217 ft","7.6 mph","156 bpm","184 spm","--"
"02/07/2021","2","8.41 mi","1:06:12 h:m:s","904","154 ft","7.6 mph","142 bpm","181 spm","--"
"01/31/2021","2","14.31 mi","2:05:50 h:m:s","1,734","738 ft","6.8 mph","149 bpm","176 spm","--"
"01/24/2021","2","16.05 mi","2:02:23 h:m:s","1,726","272 ft","7.9 mph","150 bpm","184 spm","--"
"01/17/2021","1","8.08 mi","1:02:36 h:m:s","839","210 ft","7.7 mph","147 bpm","183 spm","--"
"01/10/2021","2","14.03 mi","1:50:41 h:m:s","1,529","197 ft","7.6 mph","150 bpm","183 spm","--"
"01/03/2021","2","18.10 mi","2:23:38 h:m:s","2,011","443 ft","7.6 mph","152 bpm","182 spm","--"
"12/27/2020","2","17.87 mi","2:20:19 h:m:s","1,936","410 ft","7.6 mph","153 bpm","185 spm","--"
"12/20/2020","1","7.01 mi","53:18 h:m:s","819","108 ft","7.9 mph","164 bpm","184 spm","--"
"12/13/2020","3","19.37 mi","2:24:54 h:m:s","1,900","249 ft","8.0 mph","148 bpm","184 spm","--"
"12/06/2020","2","8.32 mi","1:06:56 h:m:s","927","190 ft","7.5 mph","146 bpm","181 spm","--"
"11/29/2020","4","40.71 mi","8:18:33 h:m:s","5,883","3,248 ft","4.9 mph","146 bpm","153 spm","--"
"11/22/2020","1","9.51 mi","1:38:06 h:m:s","1,426","997 ft","5.8 mph","157 bpm","166 spm","--"
"11/15/2020","2","14.97 mi","1:55:35 h:m:s","1,605","646 ft","7.8 mph","148 bpm","183 spm","--"
"11/08/2020","3","14.79 mi","1:58:54 h:m:s","1,677","899 ft","7.5 mph","117 bpm","118 spm","--"
"11/01/2020","3","36.89 mi","3:47:00 h:m:s","2,906","1,457 ft","9.8 mph","147 bpm","183 spm","--"
"10/25/2020","2","14.99 mi","1:54:15 h:m:s","1,632","843 ft","7.9 mph","150 bpm","182 spm","--"
"10/18/2020","2","14.65 mi","1:54:47 h:m:s","1,589","840 ft","7.7 mph","148 bpm","180 spm","--"
"10/11/2020","3","18.24 mi","2:29:34 h:m:s","2,159","755 ft","7.3 mph","151 bpm","178 spm","--"
"10/04/2020","3","20.62 mi","2:46:46 h:m:s","2,351","614 ft","7.4 mph","147 bpm","180 spm","--"
"09/27/2020","2","14.29 mi","1:47:25 h:m:s","1,520","318 ft","8.0 mph","148 bpm","183 spm","--"
"09/20/2020","3","17.89 mi","2:15:56 h:m:s","1,876","259 ft","7.9 mph","147 bpm","183 spm","--"
"09/13/2020","2","14.48 mi","2:17:10 h:m:s","1,754","906 ft","6.3 mph","148 bpm","171 spm","--"
"09/06/2020","3","14.21 mi","3:14:18 h:m:s","1,703","971 ft","4.4 mph","131 bpm","148 spm","--"
"08/30/2020","2","10.15 mi","1:25:10 h:m:s","1,138","390 ft","7.2 mph","144 bpm","175 spm","--"
"08/23/2020","3","13.37 mi","1:43:57 h:m:s","1,495","348 ft","7.7 mph","151 bpm","181 spm","--"
"08/16/2020","6","16.51 mi","4:27:10 h:m:s","1,712","928 ft","3.7 mph","120 bpm","142 spm","--"
"08/09/2020","4","16.57 mi","2:39:01 h:m:s","2,092","1,335 ft","6.3 mph","145 bpm","172 spm","--"
"08/02/2020","4","15.42 mi","1:58:10 h:m:s","1,130","390 ft","7.8 mph","125 bpm","179 spm","--"
"07/26/2020","5","17.76 mi","2:15:51 h:m:s","1,455","322 ft","7.8 mph","138 bpm","181 spm","--"
"07/19/2020","3","11.18 mi","3:23:59 h:m:s","1,320","1,142 ft","3.3 mph","128 bpm","144 spm","--"
"07/12/2020","3","7.01 mi","55:38 h:m:s","728","92 ft","7.6 mph","144 bpm","181 spm","--"
"07/05/2020","4","6.82 mi","1:03:54 h:m:s","709","125 ft","6.4 mph","127 bpm","165 spm","--"
"06/28/2020","1","8.34 mi","1:11:01 h:m:s","403","230 ft","7.0 mph","100 bpm","--","--"
"06/14/2020","2","6.11 mi","1:11:08 h:m:s","753","82 ft","5.2 mph","114 bpm","183 spm","--"
"05/31/2020","6","17.25 mi","5:44:31 h:m:s","2,440","1,319 ft","3.0 mph","107 bpm","145 spm","--"
"05/24/2020","4","4.82 mi","3:09:45 h:m:s","1,267","66 ft","1.5 mph","105 bpm","182 spm","--"
"05/17/2020","2","14.01 mi","1:47:43 h:m:s","1,468","213 ft","7.8 mph","146 bpm","181 spm","--"
"05/10/2020","3","13.26 mi","1:50:08 h:m:s","1,553","213 ft","7.2 mph","146 bpm","169 spm","--"
"05/03/2020","2","12.69 mi","1:35:53 h:m:s","1,334","249 ft","7.9 mph","147 bpm","181 spm","--"
"04/26/2020","2","12.94 mi","1:37:25 h:m:s","1,319","535 ft","8.0 mph","145 bpm","182 spm","--"
"04/19/2020","2","12.61 mi","1:35:23 h:m:s","1,356","213 ft","7.9 mph","150 bpm","182 spm","--"
"04/12/2020","2","12.91 mi","1:37:19 h:m:s","1,399","587 ft","8.0 mph","153 bpm","182 spm","--"
"04/05/2020","2","12.83 mi","1:34:49 h:m:s","1,301","614 ft","8.1 mph","148 bpm","184 spm","--"
"03/29/2020","3","18.35 mi","2:19:23 h:m:s","1,984","423 ft","7.9 mph","152 bpm","182 spm","--"
"03/22/2020","2","14.21 mi","1:47:36 h:m:s","1,230","338 ft","7.9 mph","135 bpm","184 spm","--"
"03/15/2020","3","10.18 mi","1:23:38 h:m:s","1,169","535 ft","7.3 mph","150 bpm","173 spm","--"
