"Time Period","Activities","Total Distance","Total Activity Time","Activity Calories","Total Ascent","Average Speed","Average Heart Rate","Average Run Cadence","Average Bike Cadence"
"11/05/2017","2","22.74 mi","4:04:35 h:m:s","3,417","1,693 ft","5.6 mph","153 bpm","167 spm","--"
"10/29/2017","2","18.01 mi","2:14:42 h:m:s","2,032","440 ft","8.0 mph","156 bpm","184 spm","--"
"10/22/2017","3","24.83 mi","3:08:52 h:m:s","2,774","627 ft","7.9 mph","154 bpm","183 spm","--"
"10/15/2017","2","12.65 mi","1:35:44 h:m:s","1,422","728 ft","7.9 mph","158 bpm","181 spm","--"
"10/08/2017","3","29.58 mi","2:47:20 h:m:s","1,656","810 ft","10.6 mph","136 bpm","182 spm","--"
"10/01/2017","1","10.45 mi","1:20:37 h:m:s","1,176","354 ft","7.8 mph","157 bpm","181 spm","--"
"09/24/2017","4","21.00 mi","2:28:38 h:m:s","1,961","906 ft","8.5 mph","134 bpm","182 spm","--"
"09/17/2017","3","16.62 mi","2:48:43 h:m:s","1,864","433 ft","5.9 mph","133 bpm","181 spm","--"
"09/10/2017","4","23.88 mi","3:06:36 h:m:s","2,322","764 ft","7.7 mph","138 bpm","181 spm","--"
"09/03/2017","1","6.90 mi","53:54 h:m:s","683","200 ft","7.7 mph","153 bpm","176 spm","--"
"Summary","548","3,687.69 mi","592:08:49 h:m:s","426,502","193,920 ft","6.9 mph","146 bpm","173 spm","--"
