,timestamp,position_lat,position_long,distance,enhanced_altitude,altitude,enhanced_speed,speed,unknown_87,unknown_88,heart_rate,cadence,temperature,fractional_cadence,eE,rE,pwr,tpRE,frnrRE
1,2022-05-04T13:45:55+00:00,38.796474169939756,-77.04547360539436,0.00393,-3.0,-3.0,0.0,0.0,,100,85,0,26,0.0,0.0,,,,
2,2022-05-04T13:45:56+00:00,38.79646226763725,-77.04545910470188,0.005719999999999,-3.3999999999999773,-3.3999999999999773,0.0,0.0,,100,87,0,26,0.0,0.0,,,,
3,2022-05-04T13:45:57+00:00,38.79644047468901,-77.04545021988451,0.00826,-3.600000000000022,-3.600000000000022,0.0,0.0,,100,86,0,26,0.0,0.0,,,,
4,2022-05-04T13:45:58+00:00,38.79641440697014,-77.04544996842742,0.011160000000000002,-3.800000000000011,-3.800000000000011,0.0,0.0,,100,93,85,26,0.5,0.0,,,,
5,2022-05-04T13:45:59+00:00,38.796388171613216,-77.0454528182745,0.01408,-4.0,-4.0,3.9384,3.9384,,100,94,86,26,0.5,274.84954833984375,,,,
6,2022-05-04T13:46:00+00:00,38.796360678970814,-77.04546019434929,0.01719,-4.0,-4.0,7.628400000000001,7.628400000000001,,100,96,87,26,0.0,274.84954833984375,,,,
7,2022-05-04T13:46:01+00:00,38.79633452743292,-77.04546983353794,0.020220000000000002,-4.0,-4.0,9.5364,9.5364,,100,101,87,26,0.5,274.84954833984375,,,,
8,2022-05-04T13:46:02+00:00,38.796307956799865,-77.04548022709787,0.0233,-4.0,-4.0,10.8216,10.8216,,100,104,88,26,0.0,274.84954833984375,,,,
9,2022-05-04T13:46:03+00:00,38.796280631795526,-77.04548986628652,0.02644,-4.0,-4.0,10.962,10.962,,100,108,88,26,0.0,274.84954833984375,,,,
10,2022-05-04T13:46:04+00:00,38.79625339061022,-77.0454995892942,0.029580000000000002,-4.0,-4.0,10.994399999999999,10.994399999999999,,100,110,88,26,0.0,548.0136108398438,,,,
11,2022-05-04T13:46:05+00:00,38.79622556269169,-77.04551065340638,0.032810000000000006,-4.0,-4.0,11.196,11.196,,100,113,89,26,0.0,548.0136108398438,,,,
12,2022-05-04T13:46:06+00:00,38.79619781859219,-77.04551735892892,0.035930000000000004,-4.0,-4.0,11.196,11.196,,100,116,89,26,0.0,548.0136108398438,,,,
13,2022-05-04T13:46:07+00:00,38.7961698230356,-77.0455220527947,0.039060000000000004,-4.0,-4.0,11.196,11.196,,100,117,89,26,0.0,548.0136108398438,,,,
14,2022-05-04T13:46:08+00:00,38.79614342004061,-77.04553127288818,0.042100000000000005,-3.800000000000011,-3.800000000000011,11.196,11.196,,100,119,90,26,0.0,548.0136108398438,18.543001174926758,,,
15,2022-05-04T13:46:09+00:00,38.7961161788553,-77.04554309137166,0.045290000000000004,-3.800000000000011,-3.800000000000011,11.2644,11.2644,,100,120,90,26,0.0,615.8102416992188,18.543001174926758,,,
16,2022-05-04T13:46:10+00:00,38.79608835093677,-77.04555558040738,0.048560000000000006,-3.800000000000011,-3.800000000000011,11.2644,11.2644,,100,122,90,26,0.0,615.8102416992188,18.543001174926758,,,
17,2022-05-04T13:46:11+00:00,38.796061277389526,-77.04556547105312,0.051680000000000004,-3.800000000000011,-3.800000000000011,11.2644,11.2644,,100,123,90,26,0.0,615.8102416992188,18.543001174926758,,,
18,2022-05-04T13:46:12+00:00,38.796035293489695,-77.0455751940608,0.054680000000000006,-3.800000000000011,-3.800000000000011,11.2644,11.2644,,100,125,90,26,0.0,615.8102416992188,18.543001174926758,,,
19,2022-05-04T13:46:13+00:00,38.796009896323085,-77.04558516852558,0.05763000000000001,-3.800000000000011,-3.800000000000011,11.2644,11.2644,,100,125,89,26,0.0,615.8102416992188,18.543001174926758,,,
20,2022-05-04T13:46:14+00:00,38.795983241871,-77.04559472389519,0.060700000000000004,-4.0,-4.0,11.196,11.196,,100,124,89,26,0.0,670.8197021484375,18.543001174926758,,,
21,2022-05-04T13:46:15+00:00,38.795956168323755,-77.04560352489352,0.06379,-4.199999999999989,-4.199999999999989,11.196,11.196,,100,126,89,26,0.0,670.8197021484375,18.543001174926758,,,
22,2022-05-04T13:46:16+00:00,38.79592741839588,-77.04561240971088,0.067069999999999,-4.399999999999977,-4.399999999999977,11.196,11.196,,100,127,89,26,0.0,670.8197021484375,18.543001174926758,,,
23,2022-05-04T13:46:17+00:00,38.79589615389705,-77.04561995342374,0.07061,-4.399999999999977,-4.399999999999977,11.0952,11.0952,,100,128,89,26,0.0,670.8197021484375,18.543001174926758,,,
24,2022-05-04T13:46:18+00:00,38.795862291008234,-77.04562850296497,0.07443000000000001,-4.600000000000023,-4.600000000000023,11.0952,11.0952,,100,129,89,26,0.0,670.8197021484375,18.543001174926758,,,
25,2022-05-04T13:46:19+00:00,38.79583211615682,-77.04563738778234,0.07787000000000001,-4.600000000000023,-4.600000000000023,11.0952,11.0952,,100,129,89,26,0.0,687.3165893554688,18.543001174926758,,,
26,2022-05-04T13:46:20+00:00,38.795803533867,-77.0456446800381,0.08111,-4.600000000000023,-4.600000000000023,11.1312,11.1312,,100,130,89,26,0.0,687.3165893554688,18.543001174926758,,,
27,2022-05-04T13:46:21+00:00,38.795775873586535,-77.04565490595996,0.0843,-4.600000000000023,-4.600000000000023,11.196,11.196,,100,130,90,26,0.0,687.3165893554688,18.543001174926758,,,
28,2022-05-04T13:46:22+00:00,38.79574787802994,-77.04566563479602,0.08755,-4.600000000000023,-4.600000000000023,11.2968,11.2968,,100,130,90,26,0.0,687.3165893554688,18.543001174926758,,,
