time,latitude,longitude,elevation,pointxyz,distance,mph,elevation_change,cum_elevation,cum_distance,second,elapsed_time,step_feet,moving_time,mile_num,grade_section
2018-04-07 20:02:14+00:00,38.75359863974154,-77.38794551230967,36.59999847412109,"(38.75359863974154, -77.38794551230967, 36.599998474121094)",0.00469385,16.89786,0.0,-67.4000015258789,47.98294682000012,13689,3:48:09,24.783528,1,48.0,480.0
2018-04-07 20:02:16+00:00,38.75363769941032,-77.38797484897077,36.400001525878906,"(38.75363769941032, -77.38797484897077, 36.400001525878906)",0.00312762,11.259432,-0.1999969482421875,-67.5999984741211,47.98607444000012,13690,3:48:10,16.513833599999998,1,48.0,480.0
2018-04-07 20:02:17+00:00,38.75366443768144,-77.38800225779414,36.0,"(38.75366443768144, -77.38800225779414, 36.0)",0.00236519,8.514684,-0.4000015258789062,-68.0,47.98843963000012,13691,3:48:11,12.4882032,1,48.0,480.0
2018-04-07 20:02:21+00:00,38.75371330417693,-77.38809554837644,35.400001525878906,"(38.75371330417693, -77.38809554837644, 35.400001525878906)",0.00605536,21.799296,-0.5999984741210938,-68.5999984741211,47.99449499000011,13692,3:48:12,31.9723008,1,48.0,480.0
2018-04-07 20:02:23+00:00,38.75373627059162,-77.38813494332135,35.0,"(38.75373627059162, -77.38813494332135, 35.0)",0.00265025,9.5409,-0.4000015258789062,-69.0,47.99714524000012,13693,3:48:13,13.99332,1,48.0,480.0
2018-04-07 20:02:27+00:00,38.75379016622901,-77.38823845982552,34.599998474121094,"(38.75379016622901, -77.38823845982552, 34.599998474121094)",0.00670652,24.143472,-0.4000015258789062,-69.4000015258789,48.00385176000012,13694,3:48:14,35.4104256,1,49.0,481.0
2018-04-07 20:02:32+00:00,38.75380877405405,-77.38841347396374,34.79999923706055,"(38.75380877405405, -77.38841347396374, 34.79999923706055)",0.00951735,34.262460000000004,0.2000007629394531,-69.20000076293945,48.01336911000012,13695,3:48:15,50.251608,1,49.0,481.0
2018-04-07 20:02:34+00:00,38.75380584038794,-77.38852118141949,33.79999923706055,"(38.75380584038794, -77.38852118141949, 33.79999923706055)",0.00580703,20.905308,-1.0,-70.20000076293945,48.01917614000012,13696,3:48:16,30.661118400000003,1,49.0,481.0
2018-04-07 20:02:36+00:00,38.753816317766905,-77.38860961049795,33.400001525878906,"(38.753816317766905, -77.38860961049795, 33.400001525878906)",0.00481942,17.349912,-0.3999977111816406,-70.5999984741211,48.02399556000012,13697,3:48:17,25.4465376,1,49.0,481.0
2018-04-07 20:02:42+00:00,38.7538683693856,-77.38884396851063,33.20000076293945,"(38.7538683693856, -77.38884396851063, 33.20000076293945)",0.01312983,47.267388,-0.2000007629394531,-70.79999923706055,48.037125390000114,13698,3:48:18,69.3255024,1,49.0,481.0
2018-04-07 20:02:48+00:00,38.7539735622704,-77.38901152275503,34.20000076293945,"(38.7539735622704, -77.38901152275503, 34.20000076293945)",0.01159022,41.724792,1.0,-69.79999923706055,48.04871561000012,13699,3:48:19,61.1963616,1,49.0,481.0
2018-04-07 20:02:52+00:00,38.7540290504694,-77.38912048749626,32.599998474121094,"(38.7540290504694, -77.38912048749626, 32.599998474121094)",0.00701212,25.243632,-1.6000022888183594,-71.4000015258789,48.05572773000012,13700,3:48:20,37.0239936,1,49.0,481.0
2018-04-07 20:02:54+00:00,38.754056794568896,-77.38917337730527,32.20000076293945,"(38.754056794568896, -77.38917337730527, 32.20000076293945)",0.00343453,12.364308,-0.3999977111816406,-71.79999923706055,48.059162260000114,13701,3:48:21,18.1343184,1,49.0,481.0
2018-04-07 20:02:58+00:00,38.75412376597524,-77.38926088437438,33.20000076293945,"(38.75412376597524, -77.38926088437438, 33.20000076293945)",0.00660631,23.782716,1.0,-70.79999923706055,48.06576857000012,13702,3:48:22,34.8813168,1,49.0,481.0
2018-04-07 20:02:59+00:00,38.75413969159126,-77.38927764818072,33.400001525878906,"(38.75413969159126, -77.38927764818072, 33.400001525878906)",0.00142361,5.124996,0.2000007629394531,-70.5999984741211,48.06719218000012,13703,3:48:23,7.5166608,1,49.0,481.0
2018-04-07 20:03:04+00:00,38.75423725694418,-77.38935434259474,33.0,"(38.75423725694418, -77.38935434259474, 33.0)",0.00790694,28.464984,-0.4000015258789062,-71.0,48.07509912000012,13704,3:48:24,41.7486432,1,49.0,481.0
2018-04-07 20:03:06+00:00,38.754282938316464,-77.38938342779875,33.599998474121094,"(38.754282938316464, -77.38938342779875, 33.599998474121094)",0.00352393,12.686148,0.5999984741210938,-70.4000015258789,48.07862305000012,13705,3:48:25,18.6063504,1,49.0,481.0
2018-04-07 20:03:07+00:00,38.75430657528341,-77.38939658738673,33.79999923706055,"(38.75430657528341, -77.38939658738673, 33.79999923706055)",0.00178044,6.409584000000001,0.2000007629394531,-70.20000076293945,48.08040349000012,13706,3:48:26,9.4007232,1,49.0,481.0
2018-04-07 20:03:12+00:00,38.75437832437456,-77.38945961929858,33.0,"(38.75437832437456, -77.38945961929858, 33.0)",0.00600918,21.633048,-0.7999992370605469,-71.0,48.08641267000012,13707,3:48:27,31.728470400000003,1,49.0,481.0
2018-04-07 20:03:17+00:00,38.75439835712314,-77.38953145220876,33.0,"(38.75439835712314, -77.38953145220876, 33.0)",0.00411052,14.797872000000002,0.0,-71.0,48.09052319000011,13708,3:48:28,21.7035456,1,49.0,481.0
2018-04-07 20:03:18+00:00,38.75439131632447,-77.38955332897604,32.20000076293945,"(38.75439131632447, -77.38955332897604, 32.20000076293945)",0.00127519,4.590684,-0.7999992370605469,-71.79999923706055,48.091798380000114,13709,3:48:29,6.733003200000001,1,49.0,481.0
2018-04-07 20:03:24+00:00,38.754304982721806,-77.38962315022945,32.400001525878906,"(38.754304982721806, -77.38962315022945, 32.400001525878906)",0.00705234,25.388424,0.2000007629394531,-71.5999984741211,48.09885072000012,13710,3:48:30,37.2363552,1,49.0,481.0
2018-04-07 20:03:30+00:00,38.75421328470111,-77.38960697315633,32.400001525878906,"(38.75421328470111, -77.38960697315633, 32.400001525878906)",0.00639541,23.023476,0.0,-71.5999984741211,48.10524613000012,13711,3:48:31,33.7677648,1,49.0,482.0
2018-04-07 20:03:37+00:00,38.754049837589264,-77.3895397502929,31.799999237060547,"(38.754049837589264, -77.3895397502929, 31.799999237060547)",0.01185977,42.695172,-0.6000022888183594,-72.20000076293945,48.11710590000012,13712,3:48:32,62.6195856,1,49.0,482.0
2018-04-07 20:03:42+00:00,38.7539547868073,-77.38953648135066,31.600000381469727,"(38.7539547868073, -77.38953648135066, 31.600000381469727)",0.00656975,23.6511,-0.1999988555908203,-72.39999961853027,48.12367565000012,13713,3:48:33,34.68828,1,49.0,482.0
2018-04-07 20:03:48+00:00,38.7538202572614,-77.38952851854265,31.399999618530277,"(38.753820257261395, -77.38952851854265, 31.399999618530273)",0.009305,33.498000000000005,-0.2000007629394531,-72.60000038146973,48.132980650000114,13714,3:48:34,49.1304,1,49.0,482.0
2018-04-07 20:03:53+00:00,38.75369545072317,-77.38952902145684,31.600000381469727,"(38.75369545072317, -77.38952902145684, 31.600000381469727)",0.00862335,31.04406,0.2000007629394531,-72.39999961853027,48.14160400000012,13715,3:48:35,45.531288,1,49.0,482.0
2018-04-07 20:03:56+00:00,38.7536247074604,-77.38951267674565,31.0,"(38.7536247074604, -77.38951267674565, 31.0)",0.0049666,17.87976,-0.6000003814697266,-73.0,48.14657060000012,13716,3:48:36,26.223648,1,49.0,482.0
2018-04-07 20:03:59+00:00,38.753566117957234,-77.38947956822813,30.399999618530277,"(38.753566117957234, -77.38947956822813, 30.399999618530273)",0.0044238,15.925680000000002,-0.6000003814697266,-73.60000038146973,48.15099440000012,13717,3:48:37,23.357664000000003,1,49.0,482.0
2018-04-07 20:04:04+00:00,38.7534642778337,-77.3894221521914,31.0,"(38.7534642778337, -77.3894221521914, 31.0)",0.00768655,27.67158,0.6000003814697266,-73.0,48.15868095000012,13718,3:48:38,40.584984,1,49.0,482.0
2018-04-07 20:04:10+00:00,38.75331399030984,-77.38941536284983,30.200000762939453,"(38.753313990309834, -77.38941536284983, 30.200000762939453)",0.01039032,37.405152,-0.7999992370605469,-73.79999923706055,48.16907127000012,13719,3:48:39,54.8608896,1,49.0,482.0
2018-04-07 20:04:15+00:00,38.75321818515658,-77.38949021324515,31.799999237060547,"(38.753218185156584, -77.38949021324515, 31.799999237060547)",0.00775138,27.904968,1.5999984741210938,-72.20000076293945,48.17682265000012,13720,3:48:40,40.9272864,1,49.0,482.0
2018-04-07 20:04:17+00:00,38.75318943522871,-77.38953907974064,31.799999237060547,"(38.753189435228705, -77.38953907974064, 31.799999237060547)",0.00329831,11.873916,0.0,-72.20000076293945,48.18012096000012,13721,3:48:41,17.4150768,1,49.0,482.0
2018-04-07 20:04:21+00:00,38.753129420802,-77.38965651020408,30.399999618530277,"(38.753129420802, -77.38965651020408, 30.399999618530273)",0.00756511,27.234396,-1.3999996185302734,-73.60000038146973,48.18768607000012,13722,3:48:42,39.9437808,1,49.0,482.0
2018-04-07 20:04:23+00:00,38.753101006150246,-77.38972172141075,29.799999237060547,"(38.753101006150246, -77.38972172141075, 29.799999237060547)",0.00402502,14.490072,-0.6000003814697266,-74.20000076293945,48.19171109000012,13723,3:48:43,21.2521056,1,49.0,482.0
2018-04-07 20:04:28+00:00,38.75309237278998,-77.38986547105014,30.399999618530277,"(38.75309237278998, -77.38986547105014, 30.399999618530273)",0.00776853,27.966708,0.6000003814697266,-73.60000038146973,48.19947962000012,13724,3:48:44,41.0178384,1,49.0,482.0
2018-04-07 20:04:30+00:00,38.75309589318931,-77.3899174388498,31.0,"(38.75309589318931, -77.3899174388498, 31.0)",0.0028107,10.11852,0.6000003814697266,-73.0,48.20229032000012,13725,3:48:45,14.840496000000002,1,49.0,483.0
2018-04-07 20:04:36+00:00,38.753119530156255,-77.39007116295397,30.0,"(38.753119530156255, -77.39007116295397, 30.0)",0.00844251,30.393036,-1.0,-74.0,48.21073283000012,13726,3:48:46,44.5764528,1,49.0,483.0
2018-04-07 20:04:44+00:00,38.75309572555125,-77.39030686207116,30.399999618530277,"(38.75309572555125, -77.39030686207116, 30.399999618530273)",0.01280613,46.102068,0.3999996185302734,-73.60000038146973,48.22353896000012,13727,3:48:47,67.6163664,1,49.0,483.0
2018-04-07 20:04:45+00:00,38.75309647992253,-77.39033494144678,30.399999618530277,"(38.75309647992253, -77.39033494144678, 30.399999618530273)",0.00151389,5.450004,0.0,-73.60000038146973,48.22505285000012,13728,3:48:48,7.993339199999999,1,49.0,483.0
2018-04-07 20:04:52+00:00,38.75306060537696,-77.3905427288264,31.600000381469727,"(38.75306060537696, -77.3905427288264, 31.600000381469727)",0.01146721,41.281956,1.2000007629394531,-72.39999961853027,48.23652006000012,13729,3:48:49,60.5468688,1,49.0,483.0
2018-04-07 20:04:59+00:00,38.75303680077195,-77.39074389450252,31.799999237060547,"(38.75303680077195, -77.39074389450252, 31.799999237060547)",0.0109634,39.46824,0.1999988555908203,-72.20000076293945,48.24748346000012,13730,3:48:50,57.886752,1,49.0,483.0
2018-04-07 20:05:01+00:00,38.753029676154256,-77.39080776460469,32.20000076293945,"(38.753029676154256, -77.39080776460469, 32.20000076293945)",0.00347651,12.515436,0.4000015258789062,-71.79999923706055,48.25095997000012,13731,3:48:51,18.3559728,1,49.0,483.0
2018-04-07 20:05:07+00:00,38.753001848235726,-77.39098018035293,33.20000076293945,"(38.753001848235726, -77.39098018035293, 33.20000076293945)",0.00948709,34.153524,1.0,-70.79999923706055,48.26044706000012,13732,3:48:52,50.0918352,1,49.0,483.0
2018-04-07 20:05:08+00:00,38.75299405306578,-77.39100926555693,33.400001525878906,"(38.75299405306578, -77.39100926555693, 33.400001525878906)",0.00165715,5.96574,0.2000007629394531,-70.5999984741211,48.26210421000012,13733,3:48:53,8.749752,1,49.0,483.0
2018-04-07 20:05:13+00:00,38.75291769392789,-77.39113222807646,32.79999923706055,"(38.752917693927884, -77.39113222807646, 32.79999923706055)",0.00846954,30.490344,-0.6000022888183594,-71.20000076293945,48.27057375000012,13734,3:48:54,44.7191712,1,49.0,483.0
2018-04-07 20:05:20+00:00,38.75285499729216,-77.39132174290717,33.0,"(38.75285499729216, -77.39132174290717, 33.0)",0.01109242,39.932712,0.2000007629394531,-71.0,48.28166617000012,13735,3:48:55,58.5679776,1,49.0,483.0
2018-04-07 20:05:23+00:00,38.75283001922071,-77.39141570404172,32.20000076293945,"(38.75283001922071, -77.39141570404172, 32.20000076293945)",0.00534895,19.25622,-0.7999992370605469,-71.79999923706055,48.28701512000011,13736,3:48:56,28.242456,1,49.0,483.0
2018-04-07 20:05:28+00:00,38.752799006178975,-77.39154771901667,32.79999923706055,"(38.752799006178975, -77.39154771901667, 32.79999923706055)",0.00742907,26.744652,0.5999984741210938,-71.20000076293945,48.294444190000114,13737,3:48:57,39.2254896,1,49.0,483.0
2018-04-07 20:05:36+00:00,38.75270479358733,-77.39176623523235,32.599998474121094,"(38.75270479358733, -77.39176623523235, 32.599998474121094)",0.01345387,48.433932,-0.2000007629394531,-71.4000015258789,48.30789806000011,13738,3:48:58,71.0364336,1,49.0,484.0
2018-04-07 20:05:42+00:00,38.75265316106379,-77.39192239008844,32.599998474121094,"(38.75265316106379, -77.39192239008844, 32.599998474121094)",0.00913911,32.900796,0.0,-71.4000015258789,48.31703717000011,13739,3:48:59,48.2545008,1,49.0,484.0
2018-04-07 20:05:46+00:00,38.75263790600002,-77.39204141311347,33.400001525878906,"(38.75263790600002, -77.39204141311347, 33.400001525878906)",0.00649934,23.397624,0.8000030517578125,-70.5999984741211,48.32353651000011,13740,3:49:00,34.3165152,1,49.0,484.0
2018-04-07 20:05:50+00:00,38.75261862762272,-77.39215540699661,33.79999923706055,"(38.752618627622724, -77.39215540699661, 33.79999923706055)",0.00628509,22.626324,0.3999977111816406,-70.20000076293945,48.32982160000011,13741,3:49:01,33.1852752,1,49.0,484.0
2018-04-07 20:05:56+00:00,38.75257051549852,-77.39232094958425,33.599998474121094,"(38.75257051549852, -77.39232094958425, 33.599998474121094)",0.00951922,34.269192000000004,-0.2000007629394531,-70.4000015258789,48.33934082000011,13742,3:49:02,50.2614816,1,49.0,484.0
