time,latitude,longitude,elevation,pointxyz,euc_dist,distance,euc_mph,elevation_change,cum_elevation,cum_distance,5sec_rolling_elv,second,elapsed_time,step_feet,moving_time
2021-11-19 15:46:07+00:00,38.774933349341154,-77.06275574862957,-21.600000381469727,"(38.774933349341154, -77.06275574862957, -21.600000381469727)",0.0014903249305004,0.00149143,5.365169749801699,0.0,-18.600000381469727,6.066719779999994,0.0799999237060546,3194,0:53:14,7.868915633042492,1
2021-11-19 15:46:08+00:00,38.77494215033949,-77.06275440752506,-21.399999618530277,"(38.774942150339484, -77.06275440752506, -21.399999618530273)",0.0006230544965429,0.00061237,2.242996187554624,0.2000007629394531,-18.399999618530277,6.067332149999994,0.1200000762939453,3195,0:53:15,3.289727741746782,1
2021-11-19 15:46:09+00:00,38.77494189888239,-77.06274636089802,-21.600000381469727,"(38.77494189888239, -77.06274636089802, -21.600000381469727)",0.0004510959438411,0.00043379,1.623945397828177,-0.2000007629394531,-18.600000381469727,6.067765939999994,0.039999771118164,3196,0:53:16,2.3817865834813263,1
2021-11-19 15:46:10+00:00,38.77493695355952,-77.06272607669234,-21.600000381469727,"(38.77493695355952, -77.06272607669234, -21.600000381469727)",0.0011471831350412,0.00114481,4.129859286148526,0.0,-18.600000381469727,6.068910749999994,0.0,3197,0:53:17,6.057126953017838,1
2021-11-19 15:46:11+00:00,38.774931505322456,-77.06269749440253,-21.799999237060547,"(38.774931505322456, -77.06269749440253, -21.799999237060547)",0.0015929887916442,0.00158497,5.734759649919253,-0.1999988555908203,-18.799999237060547,6.070495719999994,-0.039999771118164,3198,0:53:18,8.410980819881571,1
2021-11-19 15:46:12+00:00,38.77492538653314,-77.06266329623759,-22.0,"(38.77492538653314, -77.06266329623759, -22.0)",0.0018980256058984,0.00189001,6.832892181234319,-0.2000007629394531,-19.0,6.072385729999994,-0.0799999237060546,3199,0:53:19,10.021575199143667,1
2021-11-19 15:46:13+00:00,38.77491876482964,-77.06262675113976,-22.0,"(38.774918764829636, -77.06262675113976, -22.0)",0.0020255079411704,0.00202101,7.29182858821348,0.0,-19.0,6.074406739999994,-0.1200000762939453,3200,0:53:20,10.694681929379772,1
2021-11-19 15:46:14+00:00,38.774917088449,-77.06258651800454,-22.0,"(38.774917088449, -77.06258651800454, -22.0)",0.0021755549262416,0.00217029,7.831997734469976,0.0,-19.0,6.076577029999994,-0.0799999237060546,3201,0:53:21,11.486930010555964,1
2021-11-19 15:46:15+00:00,38.7749173399061,-77.06254561431706,-22.0,"(38.7749173399061, -77.06254561431706, -22.0)",0.0022087557451916,0.00220339,7.951520682689835,0.0,-19.0,6.078780419999994,-0.0799999237060546,3202,0:53:22,11.662230334611758,1
2021-11-19 15:46:16+00:00,38.77491432242096,-77.0625068899244,-21.799999237060547,"(38.774914322420955, -77.0625068899244, -21.799999237060547)",0.0021047692932618,0.00209632,7.577169455742644,0.2000007629394531,-18.799999237060547,6.080876739999994,0.0,3203,0:53:23,11.113181868422544,1
2021-11-19 15:46:17+00:00,38.774909963831306,-77.06246783025563,-21.799999237060547,"(38.774909963831306, -77.06246783025563, -21.799999237060547)",0.002130436809117,0.00212543,7.66957251282142,0.0,-18.799999237060547,6.083002169999994,0.0400001525878906,3204,0:53:24,11.248706352138084,1
2021-11-19 15:46:18+00:00,38.77490552142263,-77.06242642365396,-21.600000381469727,"(38.774905521422625, -77.06242642365396, -21.600000381469727)",0.0022599335083072,0.00225143,8.135760629905935,0.1999988555908203,-18.600000381469727,6.085253599999994,0.0799999237060546,3205,0:53:25,11.932448923862037,1
2021-11-19 15:46:19+00:00,38.77490929327905,-77.0623826701194,-21.399999618530277,"(38.77490929327905, -77.0623826701194, -21.399999618530273)",0.002379882270277,0.0023712,8.567576172997367,0.2000007629394531,-18.399999618530277,6.087624799999994,0.1200000762939453,3206,0:53:26,12.565778387062805,1
2021-11-19 15:46:20+00:00,38.774912897497416,-77.06233673729002,-21.399999618530277,"(38.774912897497416, -77.06233673729002, -21.399999618530273)",0.0024926770874476,0.00248672,8.973637514811612,0.0,-18.399999618530277,6.090111519999994,0.1200000762939453,3207,0:53:27,13.1613350217237,1
2021-11-19 15:46:21+00:00,38.7749120593071,-77.06229080446064,-21.399999618530277,"(38.7749120593071, -77.06229080446064, -21.399999618530273)",0.0024809215668567,0.0024749,8.931317640684272,0.0,-18.399999618530277,6.092586419999995,0.0799999237060546,3208,0:53:28,13.0992658730036,1
2021-11-19 15:46:22+00:00,38.77490962855518,-77.06224780529737,-21.399999618530277,"(38.77490962855518, -77.06224780529737, -21.399999618530273)",0.0023278841307301,0.00232228,8.380382870628527,0.0,-18.399999618530277,6.094908699999994,0.0799999237060546,3209,0:53:29,12.291228210255174,1
2021-11-19 15:46:23+00:00,38.77491222694516,-77.06220472231507,-21.600000381469727,"(38.77491222694516, -77.06220472231507, -21.600000381469727)",0.0023363419785517,0.00232765,8.410831122786268,-0.2000007629394531,-18.600000381469727,6.097236349999994,0.0,3210,0:53:30,12.335885646753194,1
2021-11-19 15:46:24+00:00,38.77491608262062,-77.06216138787568,-21.799999237060547,"(38.77491608262062, -77.06216138787568, -21.799999237060547)",0.0023580632835603,0.00234941,8.489027820817125,-0.1999988555908203,-18.799999237060547,6.099585759999994,-0.0799999237060546,3211,0:53:31,12.45057413719845,1
2021-11-19 15:46:25+00:00,38.77491675317288,-77.06211796961725,-22.0,"(38.774916753172874, -77.06211796961725, -22.0)",0.0023479923505084,0.00233923,8.452772461830476,-0.2000007629394531,-19.0,6.101924989999993,-0.1200000762939453,3212,0:53:32,12.397399610684696,1
2021-11-19 15:46:26+00:00,38.77491759136319,-77.0620737131685,-22.399999618530277,"(38.77491759136319, -77.0620737131685, -22.399999618530273)",0.0024024447591948,0.00238462,8.648801133101365,-0.3999996185302734,-19.399999618530277,6.104309609999993,-0.2,3213,0:53:33,12.684908328548667,1
2021-11-19 15:46:27+00:00,38.77491507679224,-77.0620290376246,-22.399999618530277,"(38.77491507679224, -77.0620290376246, -22.399999618530273)",0.0024185853907124,0.00241276,8.706907406564943,0.0,-19.399999618530277,6.106722369999994,-0.2,3214,0:53:34,12.770130862961915,1
2021-11-19 15:46:28+00:00,38.77491264604032,-77.06198419444263,-22.399999618530277,"(38.77491264604032, -77.06198419444263, -22.399999618530273)",0.002427207995068,0.00242136,8.737948782244851,0.0,-19.399999618530277,6.109143729999993,-0.1599998474121093,3215,0:53:35,12.815658213959116,1
2021-11-19 15:46:29+00:00,38.77491189166904,-77.06194220110774,-22.600000381469727,"(38.774911891669035, -77.06194220110774, -22.600000381469727)",0.0022712950116408,0.00226262,8.176662041907067,-0.2000007629394531,-19.600000381469727,6.111406349999993,-0.1600002288818359,3216,0:53:36,11.9924376614637,1
2021-11-19 15:46:30+00:00,38.774907952174544,-77.06190020777285,-22.799999237060547,"(38.774907952174544, -77.06190020777285, -22.799999237060547)",0.0022869013132198,0.00227833,8.232844727591528,-0.1999988555908203,-19.799999237060547,6.113684679999993,-0.1599998474121093,3217,0:53:37,12.074838933800908,1
2021-11-19 15:46:31+00:00,38.77491851337254,-77.06185905262828,-22.799999237060547,"(38.77491851337254, -77.06185905262828, -22.799999237060547)",0.0023386280217112,0.00233387,8.419060878160364,0.0,-19.799999237060547,6.1160185499999935,-0.0799999237060546,3218,0:53:38,12.3479559546352,1
2021-11-19 15:46:32+00:00,38.77491801045835,-77.06181932240725,-23.0,"(38.77491801045835, -77.06181932240725, -23.0)",0.0021489571818203,0.00214039,7.736245854553166,-0.2000007629394531,-20.0,6.118158939999994,-0.1200000762939453,3219,0:53:39,11.34649392001131,1
2021-11-19 15:46:33+00:00,38.77492010593414,-77.06177908927202,-23.0,"(38.77492010593414, -77.06177908927202, -23.0)",0.0021772828415206,0.00217203,7.838218229474413,0.0,-20.0,6.120330969999993,-0.1200000762939453,3220,0:53:40,11.49605340322914,1
2021-11-19 15:46:34+00:00,38.77492253668606,-77.06174036487937,-23.0,"(38.77492253668606, -77.06174036487937, -23.0)",0.0020977232623974,0.00209268,7.551803744630979,0.0,-20.0,6.122423649999993,-0.0799999237060546,3221,0:53:41,11.075978825458767,1
2021-11-19 15:46:35+00:00,38.77492957748473,-77.06170021556318,-23.200000762939453,"(38.77492957748473, -77.06170021556318, -23.200000762939453)",0.0022249259985693,0.00221672,8.009733594849735,-0.2000007629394531,-20.200000762939453,6.124640369999993,-0.0800003051757812,3222,0:53:42,11.747609272446278,1
2021-11-19 15:46:36+00:00,38.77492714673281,-77.06165872514248,-23.200000762939453,"(38.77492714673281, -77.06165872514248, -23.200000762939453)",0.0022466348535541,0.00224123,8.087885472795033,0.0,-20.200000762939453,6.126881599999993,-0.0800003051757812,3223,0:53:43,11.86223202676605,1
2021-11-19 15:46:37+00:00,38.7749189324677,-77.06161614507437,-23.399999618530277,"(38.7749189324677, -77.06161614507437, -23.399999618530273)",0.0023710345931291,0.0023628,8.535724535265112,-0.1999988555908203,-20.399999618530277,6.129244399999993,-0.0799999237060546,3224,0:53:44,12.519062651722164,1
2021-11-19 15:46:38+00:00,38.77491566352546,-77.0615768339485,-23.399999618530277,"(38.77491566352546, -77.0615768339485, -23.399999618530273)",0.0021346366344522,0.00212955,7.684691884027955,0.0,-20.399999618530277,6.131373949999993,-0.0799999237060546,3225,0:53:45,11.270881429907666,1
