time,latitude,longitude,elevation,pointxyz,euc_dist,flat_dist,euc_ mph,flat_mph,elevation_change,5sec_rolling_elv,second,elapsed_time,step_feet,cum_dist,moving_time
2021-11-19 14:59:07+00:00,38.78817742690444,-77.0525361970067,-12.600000381469727,"(38.78817742690444, -77.0525361970067, -12.600000381469727)",0.002485476201274955,0.0024825776598609538,8.947714324589837,8.937279575499433,-0.20000076293945312,0.0,374,0:06:14,13.108010044065836,1.6470369821504915,1
2021-11-19 14:59:08+00:00,38.788144988939166,-77.05255488865077,-12.800000190734863,"(38.788144988939166, -77.05255488865077, -12.800000190734863)",0.002457504577633916,0.0024545730334535696,8.847016479482098,8.83646292043285,-0.19999980926513672,-0.039999961853027344,375,0:06:15,12.960145616634847,1.651974132843806,1
2021-11-19 14:59:09+00:00,38.78811255097389,-77.05257089808583,-13.199999809265137,"(38.78811255097389, -77.05257089808583, -13.199999809265137)",0.002410653181632085,0.0023986764833916476,8.678351453875505,8.635235340209931,-0.39999961853027344,-0.16000003814697267,376,0:06:16,12.665011832307899,1.6568273823606512,1
2021-11-19 14:59:10+00:00,38.78808346576989,-77.05259277485311,-13.0,"(38.78808346576989, -77.05259277485311, -13.0)",0.0023311952393881216,0.002328104652203515,8.392302861797237,8.381176747932653,0.19999980926513672,-0.12000007629394531,377,0:06:17,12.292392563634559,1.6615541634962463,1
2021-11-19 14:59:11+00:00,38.788056559860706,-77.0526154898107,-13.0,"(38.788056559860706, -77.0526154898107, -13.0)",0.0022245036293498935,0.0022245036293498935,8.008213065659616,8.008213065659616,0.0,-0.12000007629394531,378,0:06:18,11.745379162967437,1.6661067717777998,1
2021-11-19 14:59:12+00:00,38.78802848048508,-77.05263728275895,-13.0,"(38.78802848048508, -77.05263728275895, -13.0)",0.0022662352202877122,0.0022662352202877122,8.158446793035765,8.158446793035765,0.0,-0.07999992370605469,379,0:06:19,11.96572196311912,1.6705975106274373,1
2021-11-19 14:59:13+00:00,38.787997802719474,-77.05265781842172,-12.800000190734863,"(38.787997802719474, -77.05265781842172, -12.800000190734863)",0.0023919768902943097,0.0023889649371993393,8.611116805059515,8.600273773917621,0.19999980926513672,0.0,380,0:06:20,12.61373486841251,1.6752527107849244,1
2021-11-19 14:59:14+00:00,38.787966622039676,-77.05267919227481,-12.600000381469727,"(38.787966622039676, -77.05267919227481, -12.600000381469727)",0.0024437601972759474,0.002440812145425367,8.79753671019341,8.786923723531322,0.19999980926513672,0.11999988555908203,381,0:06:21,12.88748812784594,1.680082487867549,1
2021-11-19 14:59:15+00:00,38.78793711774051,-77.05270132049918,-12.399999618530273,"(38.78793711774051, -77.05270132049918, -12.399999618530273)",0.0023629563531341806,0.002359907332281015,8.50664287128305,8.495666396211654,0.20000076293945312,0.12000007629394531,382,0:06:22,12.460310714443759,1.6848832073452555,1
2021-11-19 14:59:16+00:00,38.78790677525103,-77.05272135324776,-12.199999809265137,"(38.78790677525103, -77.05272135324776, -12.199999809265137)",0.0023589712601800833,0.0023559171109827732,8.4922965366483,8.481301599537984,0.19999980926513672,0.16000003814697267,383,0:06:23,12.439242345989042,1.6895990317885192,1
2021-11-19 14:59:17+00:00,38.78787777386606,-77.0527420565486,-12.399999618530273,"(38.78787777386606, -77.0527420565486, -12.399999618530273)",0.0022947066311273696,0.0022915668330654748,8.260943872058531,8.24964059903571,-0.19999980926513672,0.12000007629394531,384,0:06:24,12.099472878585706,1.6942465157325675,1
2021-11-19 14:59:18+00:00,38.7878480181098,-77.05276225693524,-12.600000381469727,"(38.7878480181098, -77.05276225693524, -12.600000381469727)",0.002327364512884519,0.002324268802434586,8.378512246384268,8.367367688764508,-0.20000076293945312,0.039999961853027344,385,0:06:25,12.272139276854613,1.6988623513680676,1
2021-11-19 14:59:19+00:00,38.78782069310546,-77.05278296023607,-12.600000381469727,"(38.78782069310546, -77.05278296023607, -12.600000381469727)",0.002191345519841476,0.002191345519841476,7.888843871429314,7.888843871429314,0.0,0.0,386,0:06:26,11.570304344762995,1.7033779656903436,1
2021-11-19 14:59:20+00:00,38.78779202699661,-77.05280140042305,-12.800000190734863,"(38.78779202699661, -77.05280140042305, -12.800000190734863)",0.002217089684780631,0.002213839808528721,7.981522865210271,7.969823310703395,-0.19999980926513672,-0.08000011444091797,387,0:06:27,11.689074189031647,1.7077831510187138,1
2021-11-19 14:59:21+00:00,38.787763779982924,-77.05282176844776,-12.800000190734863,"(38.787763779982924, -77.05282176844776, -12.800000190734863)",0.002237333011845678,0.002237333011845678,8.05439884264444,8.05439884264444,0.0,-0.12000007629394531,388,0:06:28,11.81311830254518,1.7122343238390882,1
2021-11-19 14:59:22+00:00,38.787737544626,-77.05284423194826,-13.0,"(38.787737544626, -77.05284423194826, -13.0)",0.002181780433333975,0.0021784778830056537,7.85440956000231,7.842520378820353,-0.19999980926513672,-0.12000007629394531,389,0:06:29,11.502363222269851,1.7166501347339396,1
2021-11-19 14:59:23+00:00,38.78771273419261,-77.05286585725844,-13.0,"(38.78771273419261, -77.05286585725844, -13.0)",0.0020717060620744623,0.0020717060620744623,7.458141823468064,7.458141823468064,0.0,-0.07999992370605469,390,0:06:30,10.93860800775316,1.7209003186790197,1
2021-11-19 14:59:24+00:00,38.787690019235015,-77.05288756638765,-13.199999809265137,"(38.787690019235015, -77.05288756638765, -13.199999809265137)",0.001960382126863803,0.001956705933652999,7.057375656709691,7.044141361150797,-0.19999980926513672,-0.11999988555908203,391,0:06:31,10.331407329687835,1.7249287306747472,1
2021-11-19 14:59:25+00:00,38.78766596317291,-77.05291019752622,-13.199999809265137,"(38.78766596317291, -77.05291019752622, -13.199999809265137)",0.0020606578056844905,0.0020606578056844905,7.418368100464166,7.418368100464166,0.0,-0.07999992370605469,392,0:06:32,10.88027321401411,1.7289460944140846,1
2021-11-19 14:59:26+00:00,38.787642074748874,-77.05293232575059,-13.399999618530273,"(38.787642074748874, -77.05293232575059, -13.399999618530273)",0.0020388377262021687,0.0020353032455265817,7.339815814327807,7.327091683895694,-0.19999980926513672,-0.11999988555908203,393,0:06:33,10.746401136380351,1.7330420554652957,1
2021-11-19 14:59:27+00:00,38.78761751577258,-77.05295545980334,-13.399999618530273,"(38.78761751577258, -77.05295545980334, -13.399999618530273)",0.0021046922104203344,0.0021046922104203344,7.576891957513204,7.576891957513204,0.0,-0.07999992370605469,394,0:06:34,11.112774871019365,1.7371820509212426,1
2021-11-19 14:59:28+00:00,38.787591280415654,-77.05297926440835,-13.399999618530273,"(38.787591280415654, -77.05297926440835, -13.399999618530273)",0.00221960091517514,0.00221960091517514,7.990563294630504,7.990563294630504,0.0,-0.07999992370605469,395,0:06:35,11.71949283212474,1.7415063440468381,1
