time,latitude,longitude,elevation
2021-11-19 14:52:53+00:00,38.79649353213608,-77.04552322626114,-3.0
2021-11-19 14:52:54+00:00,38.79648883827031,-77.04551886767149,-3.0
2021-11-19 14:52:55+00:00,38.796473080292344,-77.04550998285413,-3.0
2021-11-19 14:52:56+00:00,38.79645690321922,-77.04550285823643,-3.0
2021-11-19 14:52:57+00:00,38.796427231281996,-77.04549883492291,-2.799999952316284
2021-11-19 14:52:58+00:00,38.79639437422156,-77.04550009220839,-2.4000000953674316
2021-11-19 14:52:59+00:00,38.796363696455956,-77.04550453461707,-2.0
2021-11-19 14:53:00+00:00,38.79633595235646,-77.04551107250154,-2.0
2021-11-19 14:53:01+00:00,38.79630737006664,-77.04551576636732,-2.0
2021-11-19 14:53:02+00:00,38.79628079943359,-77.04552314244211,-2.0
2021-11-19 14:53:03+00:00,38.79624827764928,-77.04553068615496,-2.200000047683716
2021-11-19 14:53:04+00:00,38.79621349275112,-77.04553806222975,-2.4000000953674316
2021-11-19 14:53:05+00:00,38.79617736674845,-77.0455424208194,-2.4000000953674316
2021-11-19 14:53:06+00:00,38.79614409059286,-77.04554996453226,-2.5999999046325684
2021-11-19 14:53:07+00:00,38.79611584357917,-77.04555943608284,-2.5999999046325684
2021-11-19 14:53:08+00:00,38.79608918912709,-77.04556706361473,-2.5999999046325684
2021-11-19 14:53:09+00:00,38.79605800844729,-77.04556773416698,-2.5999999046325684
2021-11-19 14:53:10+00:00,38.79602230153978,-77.04557695426047,-2.5999999046325684
2021-11-19 14:53:11+00:00,38.79598215222359,-77.04558625817299,-2.799999952316284
2021-11-19 14:53:12+00:00,38.79594921134412,-77.04559681937099,-2.799999952316284
2021-11-19 14:53:13+00:00,38.795920461416245,-77.04560243524611,-3.200000047683716
2021-11-19 14:53:14+00:00,38.79588886164129,-77.04560394398868,-3.0
2021-11-19 14:53:15+00:00,38.79585801623762,-77.04560486599803,-3.200000047683716
2021-11-19 14:53:16+00:00,38.79582951776683,-77.04561199061573,-3.200000047683716
2021-11-19 14:53:17+00:00,38.79580135457218,-77.04561945050955,-3.4000000953674316
2021-11-19 14:53:18+00:00,38.795772856101394,-77.04562372528017,-3.4000000953674316
2021-11-19 14:53:19+00:00,38.7957482971251,-77.04562615603209,-3.4000000953674316
2021-11-19 14:53:20+00:00,38.795721139758825,-77.0456272456795,-3.200000047683716
2021-11-19 14:53:21+00:00,38.79569205455482,-77.04562732949853,-3.0
2021-11-19 14:53:22+00:00,38.79565601237118,-77.04563269391656,-2.799999952316284
2021-11-19 14:53:23+00:00,38.7956169527024,-77.0456375554204,-2.799999952316284
2021-11-19 14:53:24+00:00,38.79557621665299,-77.04564325511456,-2.5999999046325684
2021-11-19 14:53:25+00:00,38.79553724080324,-77.04564778134227,-2.5999999046325684
2021-11-19 14:53:26+00:00,38.79550262354314,-77.04565725289285,-2.799999952316284
2021-11-19 14:53:27+00:00,38.795460211113095,-77.04565783962607,-3.0
2021-11-19 14:53:28+00:00,38.79541587084532,-77.04566094093025,-3.200000047683716
2021-11-19 14:53:29+00:00,38.79538334906101,-77.04566781409085,-3.4000000953674316
2021-11-19 14:53:30+00:00,38.79535250365734,-77.04567334614694,-3.4000000953674316
2021-11-19 14:53:31+00:00,38.79532610066235,-77.04567602835596,-3.4000000953674316
2021-11-19 14:53:32+00:00,38.795296512544155,-77.04568172805011,-3.4000000953674316
2021-11-19 14:53:33+00:00,38.7952646613121,-77.04568977467716,-3.4000000953674316
2021-11-19 14:53:34+00:00,38.79523565992713,-77.04569513909519,-3.4000000953674316
2021-11-19 14:53:35+00:00,38.79520934075117,-77.04569933004677,-3.200000047683716
2021-11-19 14:53:36+00:00,38.79518486559391,-77.04570176079869,-3.200000047683716
2021-11-19 14:53:37+00:00,38.79515896551311,-77.04570570029318,-3.200000047683716
2021-11-19 14:53:38+00:00,38.79513390362263,-77.04571081325412,-3.200000047683716
2021-11-19 14:53:39+00:00,38.79510431550443,-77.04571374692023,-2.799999952316284
2021-11-19 14:53:40+00:00,38.79507405683398,-77.04571441747248,-2.5999999046325684
2021-11-19 14:53:41+00:00,38.79504622891545,-77.04571248963475,-2.4000000953674316
2021-11-19 14:53:42+00:00,38.79501722753048,-77.04571735113859,-2.4000000953674316
2021-11-19 14:53:43+00:00,38.794983280822635,-77.04572690650821,-2.4000000953674316
2021-11-19 14:53:44+00:00,38.794951010495424,-77.04573646187782,-2.200000047683716
2021-11-19 14:53:45+00:00,38.794919745996594,-77.04574677161872,-2.200000047683716
2021-11-19 14:53:46+00:00,38.79488864913583,-77.04575582407415,-2.4000000953674316
2021-11-19 14:53:47+00:00,38.79485688172281,-77.04576646909118,-2.5999999046325684
2021-11-19 14:53:48+00:00,38.79482536576688,-77.04577610827982,-2.799999952316284
