time,latitude,longitude,elevation,pointxyz,distance,mph,pace,sec_mile_pace,elevation_change,cum_elevation,cum_distance,second,elapsed_time,step_feet,moving_time
2021-11-19 15:46:38+00:00,38.77491566352546,-77.0615768339485,-23.399999618530273,"(38.77491566352546, -77.0615768339485, -23.399999618530273)",0.00212955,7.66638,0:07:49.582776,469.5827757037872,0.0,-20.399999618530273,6.042868634999997,3225,0:53:45,11.244024,1
2021-11-19 15:46:39+00:00,38.77491314895451,-77.06153919920325,-23.600000381469727,"(38.77491314895451, -77.06153919920325, -23.600000381469727)",0.00203467,7.3248120000000005,0:08:11.480191,491.4801908909061,-0.20000076293945312,-20.600000381469727,6.0449033049999965,3226,0:53:46,10.7430576,1
2021-11-19 15:46:40+00:00,38.77491164021194,-77.06150349229574,-23.600000381469727,"(38.77491164021194, -77.06150349229574, -23.600000381469727)",0.00192621,6.934356,0:08:39.154194,519.1541939871561,0.0,-20.600000381469727,6.046829514999996,3227,0:53:47,10.1703888,1
2021-11-19 15:46:41+00:00,38.77491063438356,-77.06146845594049,-23.600000381469727,"(38.77491063438356, -77.06146845594049, -23.600000381469727)",0.00188855,6.79878,0:08:49.506764,529.5067644489159,0.0,-20.600000381469727,6.0487180649999965,3228,0:53:48,9.971544,1
2021-11-19 15:46:42+00:00,38.77490392886102,-77.0614317432046,-23.799999237060547,"(38.77490392886102, -77.0614317432046, -23.799999237060547)",0.00203112,7.312032,0:08:12.339202,492.33920201662136,-0.1999988555908203,-20.799999237060547,6.050749184999996,3229,0:53:49,10.7243136,1
2021-11-19 15:46:43+00:00,38.774904096499085,-77.06138933077455,-23.799999237060547,"(38.774904096499085, -77.06138933077455, -23.799999237060547)",0.00228462,8.224632,0:07:17.709553,437.7095534487136,0.0,-20.799999237060547,6.0530338049999965,3230,0:53:50,12.0627936,1
2021-11-19 15:46:44+00:00,38.77489730715752,-77.06134716980159,-24.0,"(38.77489730715752, -77.06134716980159, -24.0)",0.00231899,8.348364,0:07:11.222213,431.2222131186422,-0.20000076293945312,-21.0,6.055352794999997,3231,0:53:51,12.2442672,1
2021-11-19 15:46:45+00:00,38.774896720424294,-77.06130551174283,-24.200000762939453,"(38.774896720424294, -77.06130551174283, -24.200000762939453)",0.00224432,8.079552000000001,0:07:25.569259,445.56925928566335,-0.20000076293945312,-21.200000762939453,6.0575971149999965,3232,0:53:52,11.850009600000002,1
2021-11-19 15:46:46+00:00,38.77488733269274,-77.06126796081662,-24.200000762939453,"(38.77488733269274, -77.06126796081662, -24.200000762939453)",0.00212418,7.647047999999999,0:07:50.769897,470.7698970897005,0.0,-21.200000762939453,6.059721294999997,3233,0:53:53,11.215670399999999,1
2021-11-19 15:46:47+00:00,38.77487786114216,-77.06122965551913,-24.200000762939453,"(38.77487786114216, -77.06122965551913, -24.200000762939453)",0.00216465,7.79274,0:07:41.968448,461.96844755503196,0.0,-21.200000762939453,6.061885944999997,3234,0:53:54,11.429352000000002,1
