time,latitude,longitude,elevation
,38.64723,-78.58582,369.796783
,38.64726,-78.58584,369.806335
,38.64728,-78.58586,369.912506
,38.6473,-78.58587,369.909943
,38.64732,-78.58588,369.918274
,38.64739,-78.58592,369.766083
,38.64746,-78.58598,369.323273
,38.64753,-78.58605,369.139832
,38.64759,-78.58608,368.682617
,38.64768,-78.58612,368.571167
,38.6478,-78.5861,368.079712
,38.64782,-78.5861,368.052277
,38.64788,-78.58603,367.366455
,38.64789,-78.58602,367.297241
,38.64791,-78.586,367.183197
,38.64793,-78.58599,367.46048
,38.64795,-78.58597,367.83783
,38.64797,-78.58595,368.297302
,38.648,-78.58591,368.89801
,38.64808,-78.58586,370.404205
,38.64813,-78.5858,370.947449
,38.64815,-78.58579,371.226898
,38.64816,-78.58577,371.218842
,38.64818,-78.58575,371.361053
,38.6482,-78.58572,371.335449
,38.64822,-78.5857,371.336334
,38.64824,-78.58568,371.335449
,38.64827,-78.58566,371.443176
,38.64828,-78.58564,371.336334
,38.6483,-78.58563,371.444061
,38.64832,-78.5856,371.336334
,38.64834,-78.58559,371.444061
,38.64836,-78.58557,371.444061
,38.64838,-78.58556,371.551788
,38.6484,-78.58555,371.659515
,38.64842,-78.58554,371.768158
,38.64844,-78.58553,371.875885
,38.64846,-78.58552,371.983612
,38.64848,-78.58552,372.154266
,38.64852,-78.58551,372.237854
,38.64856,-78.58551,372.430145
,38.6486,-78.58551,372.622437
,38.64862,-78.58551,372.718781
,38.64864,-78.58551,372.815155
,38.64866,-78.58551,372.911102
,38.6487,-78.5855,372.966217
,38.64872,-78.58551,373.199738
,38.64874,-78.58552,373.438446
,38.64878,-78.58551,373.56012
,38.6488,-78.58552,373.847961
,38.64882,-78.58553,374.135254
,38.64884,-78.58554,374.424316
,38.64888,-78.58556,374.999451
,38.6489,-78.58556,375.143677
,38.64892,-78.58557,375.432159
,38.64893,-78.58559,375.791229
,38.64896,-78.5856,376.15213
,38.64898,-78.5856,376.296356
,38.649,-78.58563,376.872711
,38.64902,-78.58563,377.016327
,38.64909,-78.58567,378.095978
,38.64911,-78.58568,378.38385
,38.64913,-78.5857,378.796478
,38.64916,-78.58571,379.119659
,38.64919,-78.58572,379.44342
,38.64921,-78.58573,379.696289
,38.64924,-78.58576,380.235535
,38.64929,-78.58579,380.919281
,38.64932,-78.5858,381.263672
,38.64937,-78.58582,381.924561
,38.64939,-78.58582,382.101379
,38.64941,-78.58582,382.277466
,38.64945,-78.58584,382.884216
,38.64948,-78.58584,383.15686
,38.6495,-78.58584,383.338898
,38.64952,-78.58586,383.792175
,38.64953,-78.58586,383.8862
,38.64955,-78.58584,383.792816
,38.64957,-78.58584,383.974854
,38.64959,-78.58586,384.432709
,38.64963,-78.58586,384.720581
,38.64965,-78.58586,384.864197
,38.64968,-78.58586,385.080261
,38.6497,-78.58586,385.224487
,38.64972,-78.58584,385.080261
,38.64973,-78.58584,385.152069
,38.64977,-78.58584,385.439941
,38.64979,-78.58586,385.87265
,38.64981,-78.58584,385.727814
,38.64983,-78.58584,385.87204
,38.64985,-78.58583,385.87265
,38.64986,-78.58582,385.799622
,38.64988,-78.58582,385.943268
,38.64992,-78.5858,385.944458
,38.64995,-78.5858,386.160522
,38.64998,-78.5858,386.375977
,38.65001,-78.5858,386.59201
,38.65004,-78.5858,386.808075
,38.65005,-78.58579,386.735657
,38.65007,-78.58579,386.879272
,38.65013,-78.58579,387.311401
,38.65015,-78.58579,387.415527
,38.65018,-78.58579,387.52356
,38.6502,-78.58579,387.595367
,38.65023,-78.58578,387.559753
,38.65025,-78.58578,387.631897
,38.65028,-78.58577,387.596283
,38.6503,-78.58576,387.523254
,38.65032,-78.58576,387.595367
,38.65034,-78.58576,387.667175
,38.65036,-78.58576,387.739319
,38.65038,-78.58577,387.956268
,38.6504,-78.58577,388.028076
,38.65043,-78.58579,388.454834
,38.65045,-78.5858,388.714752
,38.65049,-78.58582,389.216217
,38.65053,-78.58584,389.69809
,38.65055,-78.58586,390.058411
,38.65057,-78.58586,390.15921
,38.65059,-78.58587,390.381683
,38.6506,-78.58589,390.670685
,38.65063,-78.58592,391.159851
,38.65064,-78.58594,391.43335
,38.65066,-78.58596,391.7388
,38.65069,-78.58598,392.095642
,38.65071,-78.586,392.501099
,38.65074,-78.58602,392.959229
,38.65077,-78.58603,393.263275
,38.65078,-78.58606,393.685699
,38.6508,-78.58609,394.133972
,38.65083,-78.58611,394.475586
,38.65085,-78.58613,394.755981
,38.65089,-78.58614,394.973419
,38.65091,-78.58616,395.207062
,38.65093,-78.58618,395.419067
,38.65096,-78.5862,395.624146
,38.65098,-78.58622,395.789703
,38.651,-78.58623,395.870483
,38.65102,-78.58624,395.940308
,38.65103,-78.58626,396.144257
,38.65106,-78.58629,396.576355
,38.65109,-78.58632,397.008484
,38.6511,-78.58633,397.1521
,38.65112,-78.58635,397.439362
,38.65114,-78.58637,397.727844
,38.65115,-78.58639,398.016296
,38.65116,-78.58641,398.303589
,38.65118,-78.58643,398.592041
,38.65119,-78.58645,398.879303
,38.65122,-78.58649,399.456268
,38.65123,-78.58651,399.74353
,38.65125,-78.58653,400.023987
,38.65126,-78.58655,400.237488
,38.65127,-78.58658,400.549988
,38.65129,-78.58659,400.639923
,38.6513,-78.58662,400.936432
,38.65132,-78.58663,401.011261
,38.65133,-78.58665,401.193512
,38.65135,-78.58667,401.351501
,38.65138,-78.58669,401.478821
,38.65139,-78.5867,401.547455
,38.65141,-78.58671,401.589813
,38.65144,-78.58672,401.602814
,38.65146,-78.58673,401.633484
,38.65148,-78.58674,401.65918
,38.6515,-78.58674,401.604095
,38.65152,-78.58674,401.549255
,38.65154,-78.58674,401.680481
,38.65156,-78.58674,401.930908
,38.65158,-78.58674,402.180267
,38.65162,-78.58673,402.63205
,38.65165,-78.58671,402.934113
,38.65168,-78.5867,403.300079
,38.65169,-78.58669,403.406372
,38.65172,-78.58667,403.774719
,38.65174,-78.58665,404.027557
,38.65183,-78.58656,405.518005
,38.65184,-78.58654,405.738251
,38.65185,-78.58652,406.010498
,38.65185,-78.5864,406.805634
,38.65188,-78.58628,408.152527
,38.65188,-78.58622,408.41861
,38.65188,-78.58619,408.497467
,38.65188,-78.58607,408.813812
,38.6519,-78.58594,409.204529
,38.65195,-78.58582,409.246307
,38.65201,-78.58572,409.367218
,38.65207,-78.5857,409.89505
,38.65209,-78.5857,410.089264
,38.65211,-78.58568,410.03067
,38.65213,-78.58566,409.942688
,38.65215,-78.58566,410.077972
,38.65218,-78.58566,410.280029
,38.65219,-78.58566,410.347961
,38.65221,-78.58566,410.482666
,38.65223,-78.58566,410.61795
,38.65225,-78.58567,410.883606
,38.65228,-78.58567,411.090149
,38.65231,-78.58566,411.157959
,38.65233,-78.58567,411.434021
,38.65236,-78.58568,411.784058
,38.65238,-78.5857,412.148438
,38.6524,-78.58571,412.363892
,38.65242,-78.58572,412.579651
,38.65245,-78.58573,412.83252
,38.65247,-78.58574,413.047974
,38.65249,-78.58575,413.263702
,38.65251,-78.58575,413.335815
,38.65253,-78.58576,413.55127
,38.65255,-78.58577,413.768219
,38.65258,-78.58578,414.019897
,38.6526,-78.58579,414.235352
,38.65262,-78.58579,414.307465
,38.65264,-78.58578,414.2388
,38.65265,-78.58578,414.299561
,38.65267,-78.58578,414.421082
,38.65269,-78.58577,414.406067
,38.65271,-78.58576,414.395142
,38.65273,-78.58575,414.389984
,38.65277,-78.58571,414.141235
,38.65284,-78.58562,414.374268
,38.65285,-78.58559,414.429779
,38.65288,-78.58548,414.634216
,38.65291,-78.58544,414.930206
,38.65293,-78.5854,415.18866
,38.65295,-78.58534,415.446899
,38.65296,-78.58532,415.569366
,38.65299,-78.58529,415.935364
,38.65301,-78.58527,416.166809
,38.65302,-78.58523,416.237854
,38.65304,-78.58521,416.445953
,38.65306,-78.5852,416.661102
,38.65314,-78.58515,417.444366
,38.65323,-78.58514,418.260834
,38.65326,-78.58514,418.477783
,38.65328,-78.58514,418.622589
,38.6533,-78.58514,418.767426
,38.65333,-78.58515,419.055328
,38.65335,-78.58516,419.280823
,38.65337,-78.58518,419.599304
,38.65339,-78.5852,419.937103
,38.65342,-78.58528,420.956757
,38.65344,-78.5853,421.373077
,38.65346,-78.58534,422.019958
,38.65349,-78.58537,422.666443
,38.6535,-78.58539,422.992737
,38.65352,-78.58542,423.541626
,38.65354,-78.58544,423.920654
,38.65355,-78.58547,424.277679
,38.65355,-78.5855,424.523987
,38.65357,-78.58552,424.930908
,38.65358,-78.58554,425.224182
,38.65361,-78.58555,425.685852
,38.65363,-78.58558,426.214233
,38.65366,-78.58559,426.697937
,38.65368,-78.5856,427.057678
,38.6537,-78.58563,427.626282
,38.65373,-78.58567,428.454803
,38.65374,-78.5857,428.895386
,38.65376,-78.58571,429.186218
,38.65379,-78.58573,429.562927
,38.65381,-78.58575,429.874908
,38.6539,-78.5858,431.04541
,38.65398,-78.58587,432.443085
,38.65405,-78.58593,433.532104
,38.65406,-78.58595,433.750397
,38.65408,-78.58597,433.974548
,38.65412,-78.586,434.199707
,38.65414,-78.58602,434.380096
,38.65416,-78.58603,434.505219
,38.65418,-78.58604,434.644958
,38.6542,-78.58605,434.800446
,38.65422,-78.58606,434.972382
,38.65424,-78.58607,435.158691
,38.65429,-78.58613,436.17688
,38.65432,-78.58614,436.415833
,38.65436,-78.58616,436.704315
,38.65439,-78.58618,436.991577
,38.65442,-78.58621,437.423676
,38.65446,-78.58621,437.423676
,38.65448,-78.58621,437.423676
,38.65451,-78.58623,437.712158
,38.65452,-78.58624,437.855804
,38.65454,-78.58626,438.132996
,38.65456,-78.58627,438.275787
,38.65457,-78.58629,438.5625
,38.65459,-78.58633,439.121185
,38.6546,-78.58638,439.783508
,38.65462,-78.58642,440.235565
,38.65463,-78.58643,440.315277
,38.65464,-78.58646,440.666168
