time,latitude,longitude,elevation,pointxyz,euc_dist,distance,euc_mph,elevation_change,cum_elevation,cum_distance,5sec_rolling_elv,second,elapsed_time,step_feet,moving_time
2021-11-19 15:09:27+00:00,38.77495991997421,-77.05844803713262,-18.399999618530273,"(38.77495991997421, -77.05844803713262, -18.399999618530273)",0.0019213965173239412,0.00191301,6.917027462366188,-0.1999988555908203,-15.399999618530273,2.1784572799999995,-0.039999771118164065,994,0:16:34,10.144973611470409,1
2021-11-19 15:09:28+00:00,38.77495849505067,-77.05848558805883,-18.399999618530273,"(38.77495849505067, -77.05848558805883, -18.399999618530273)",0.0020300273819539773,0.00202511,7.308098575034318,0.0,-15.399999618530273,2.1804823899999994,-0.12000007629394531,995,0:16:35,10.718544576717001,1
2021-11-19 15:09:29+00:00,38.77495606429875,-77.05852816812694,-18.600000381469727,"(38.77495606429875, -77.05852816812694, -18.600000381469727)",0.00230843313234992,0.00229976,8.310359276459712,-0.20000076293945312,-15.600000381469727,2.1827821499999995,-0.16000022888183593,996,0:16:36,12.188526938807577,1
2021-11-19 15:09:30+00:00,38.77495405264199,-77.05856957472861,-18.600000381469727,"(38.77495405264199, -77.05856957472861, -18.600000381469727)",0.0022401442968376555,0.00223474,8.06451946861556,0.0,-15.600000381469727,2.1850168899999995,-0.07999992370605469,997,0:16:37,11.827961887302822,1
2021-11-19 15:09:31+00:00,38.77495178952813,-77.05861651338637,-18.600000381469727,"(38.77495178952813, -77.05861651338637, -18.600000381469727)",0.0025393612368113496,0.00253323,9.141700452520858,0.0,-15.600000381469727,2.1875501199999996,-0.07999992370605469,998,0:16:38,13.407827330363926,1
2021-11-19 15:09:32+00:00,38.77494961023331,-77.05866320058703,-18.0,"(38.77494961023331, -77.05866320058703, -18.0)",0.002550988095673958,0.00251936,9.18355714442625,0.6000003814697266,-15.0,2.1900694799999996,0.07999992370605469,999,0:16:39,13.469217145158499,1
2021-11-19 15:09:33+00:00,38.774945586919785,-77.05870586447418,-17.799999237060547,"(38.774945586919785, -77.05870586447418, -17.799999237060547)",0.0023234896618629297,0.00231489,8.364562782706546,0.20000076293945312,-14.799999237060547,2.1923843699999996,0.12000007629394531,1000,0:16:40,12.268025414636268,1
2021-11-19 15:09:34+00:00,38.774942737072706,-77.05874903127551,-17.600000381469727,"(38.774942737072706, -77.05874903127551, -17.600000381469727)",0.0023422394994608883,0.00233355,8.432062198059198,0.1999988555908203,-14.600000381469727,2.1947179199999995,0.2,1001,0:16:41,12.36702455715349,1
2021-11-19 15:09:35+00:00,38.77494131214917,-77.0587944611907,-17.399999618530273,"(38.77494131214917, -77.0587944611907, -17.399999618530273)",0.0024579900848272726,0.00244911,8.84876430537818,0.20000076293945312,-14.399999618530273,2.1971670299999997,0.24000015258789062,1002,0:16:42,12.978187647888,1
2021-11-19 15:09:36+00:00,38.77494198270142,-77.05884165130556,-17.399999618530273,"(38.77494198270142, -77.05884165130556, -17.399999618530273)",0.002548556484209331,0.00254237,9.174803343153592,0.0,-14.399999618530273,2.1997093999999997,0.24000015258789062,1003,0:16:43,13.456378236625268,1
